Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Sub-Saharan Africa,SSF,GDP per capita (current US$),NY.GDP.PCAP.CD,158.0667048653371,160.87041390823944,169.6612971645583,188.2477574335863,182.6228773151583,196.06683759637224,207.1215873943866,202.0620513952454,210.6114886330684,231.53448535107117,251.71727323662424,251.91913038318117,276.3612875264953,342.7097881947297,422.7004174114789,451.1933541531192,474.530999538016,507.1426429254551,551.6543471188694,631.1226526885985,769.8213883887563,1008.196434449152,908.8287023771228,791.938401952333,687.6069483198497,637.8329189716521,580.837628498766,631.9163161364111,646.8027973528965,640.1704271091238,728.9261020159088,759.7152489188005,665.3044236583141,654.326096747387,651.4948956533076,807.0686814793409,877.9339131826229,899.3193550030912,878.1120126107708,610.4059681299282,629.8595532040904,587.7109018694038,625.805568583085,766.9147122414181,926.9432661982904,1074.1247631066492,1234.756098921125,1391.2680358288742,1537.3833309426186,1427.577874957724,1643.3075352337062,1796.161098292259,1818.0612544925168,1880.3998046236436,1907.732109070644,1647.3208582683578,1456.6521111592897,1549.188319085846,1622.5957532963369,1797.041217654148,1628.4387334686862,1785.9811819114375,1864.7068611192456,1682.2261488118966,1542.6584426161917,1673.0707757449677
Sub-Saharan Africa,SSF,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96396994590759,2.6460949182510403,2.707200050354,2.81047010421753,,2.91176009178162,2.91943001747131,2.9204449653625497,,2.77728009223938,3.116560101509095,3.07808995246887,3.07762002944946,3.2816699743270847,3.56775999069214,3.32569003105164,3.570629954338075,3.28257989883423,3.53460991382599,3.38626492023468,3.24716413970868,3.403950396402565,3.31281536274069,3.0972642678305,3.25853222146531,,
Sub-Saharan Africa,SSF,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,38.8600006103516,39.2299995422363,39.9300003051758,40.5200004577637,41.0999984741211,41.8400001525879,42.2200012207031,42.8199996948242,43.6100006103516,44.25,45.0299987792969,45.9300003051758,47.0499992370605,47.7700004577637,48.689998626709,47.2299995422363,48.189998626709,48.4500007629395,49.2200012207031,49.8800010681152,49.6599998474121,48.810001373291,49.0099983215332,49.4300003051758,49.9599990844727,50.8899993896484,52.9000015258789,54.2400016784668,55.2400016784668,56.0299987792969,56.810001373291,57.6500015258789,58.189998626709,60.3199996948242,61.1500015258789,61.4000015258789,61.4500007629395,61.9000015258789,62.2999992370605,62.6599998474121,
Sub-Saharan Africa,SSF,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,60.9500007629395,61.2200012207031,61.7900009155273,62.2200012207031,62.6599998474121,63.1599998474121,63.439998626709,63.7999992370605,64.2200012207031,64.7699966430664,64.9000015258789,65.2799987792969,65.7799987792969,66.4000015258789,67.1999969482422,66.4100036621094,66.9700012207031,68.129997253418,68.4000015258789,69.0899963378906,68.6399993896484,67.6699981689453,67.0299987792969,67.2699966430664,67.6800003051758,68.0699996948242,69.4199981689453,70.5299987792969,71.2799987792969,71.5599975585938,71.9599990844727,72.3499984741211,72.5199966430664,74.129997253418,74.5,74.5599975585938,74.4000015258789,74.5800018310547,74.75,74.879997253418,
Sub-Saharan Africa,SSF,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,49.6599998474121,49.9900016784668,50.6300010681152,51.1399993896484,51.6800003051758,52.3199996948242,52.6699981689453,53.1399993896484,53.7200012207031,54.3400001525879,54.7400016784668,55.3699989318848,56.1599998474121,56.8300018310547,57.7000007629395,56.5699996948242,57.3400001525879,58.0499992370605,58.5800018310547,59.2599983215332,58.939998626709,58.0299987792969,57.8300018310547,58.1699981689453,58.6500015258789,59.3199996948242,61.0099983215332,62.2400016784668,63.1199989318848,63.6699981689453,64.2600021362305,64.8899993896484,65.25,67.129997253418,67.7300033569336,67.8899993896484,67.8399963378906,68.1500015258789,68.4400024414062,68.6900024414062,
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,227706653.0,233241597.0,239026415.0,245034711.0,251288504.0,257787921.0,264483132.0,271416274.0,278647329.0,286170368.0,293976226.0,301997112.0,310201919.0,318869838.0,327990755.0,337373665.0,347025940.0,356821508.0,367355255.0,378570328.0,389829761.0,401671969.0,414253738.0,426709978.0,439111854.0,452014893.0,465259300.0,478911799.0,492715455.0,506724902.0,521029972.0,535328746.0,549973046.0,565251301.0,580483156.0,596081868.0,612267246.0,628567583.0,645494313.0,662922716.0,680768792.0,699215347.0,718276009.0,737918076.0,758237956.0,779233636.0,800828364.0,823124982.0,846224198.0,869926373.0,894259855.0,919112234.0,944523292.0,970746312.0,997426231.0,1024659421.0,1052166739.0,1080208893.0,1109196428.0,1138472475.0,1168133785.0,1198069722.0,1228187451.0,1258809472.0,1289936286.0,1321654217.0
Sub-Saharan Africa,SSF,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,45.9109191894531,46.2447395324707,46.6223983764648,47.049129486084,47.9757995605469,48.7100296020508,49.7846908569336,51.0701217651367,52.482349395752,52.9465293884277,53.9705390930176,54.7202682495117,55.1734085083008,57.0515403747559,54.8260498046875,54.800651550293,54.282901763916,53.4930381774902,52.518669128418,53.0577011108398,53.3805198669434,52.7355995178223,53.4798583984375,52.7453918457031,52.8174285888672,53.2490310668945,52.9948081970215,52.3001289367676,52.3759117126465,52.7868804931641,54.4109191894531,55.4567108154297,56.4152717590332,57.4124488830566,59.4836006164551,62.1734085083008,61.9109916687012,62.5015487670898,65.6601104736328,65.9001617431641,65.6769180297852,65.7487869262695,65.6354522705078,66.0308074951172,66.2581787109375,66.7362670898438,67.1070938110352,67.8915863037109,68.2892684936523,69.0565490722656,69.8967132568359,68.9824600219727,68.7689590454102,68.9090194702148,
Sub-Saharan Africa,SSF,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,54.9469108581543,53.5029716491699,54.6931686401367,55.9473114013672,58.1061515808105,59.6615715026855,60.7620811462402,64.017707824707,67.6707916259766,72.0214385986328,75.0645065307617,77.629020690918,79.7259674072266,79.6274795532227,78.7637176513672,76.3593902587891,73.7078704833984,72.1757583618164,71.2265014648438,71.9342269897461,71.1211166381836,72.1161575317383,72.0140686035156,73.3198699951172,73.4761428833008,74.0089874267578,72.0408325195312,75.3786697387695,76.6755905151367,77.1475372314453,79.4738082885742,81.3402481079102,83.4894866943359,85.9780197143555,87.9946899414062,90.3313522338867,92.0808029174805,92.9380798339844,94.1902084350586,94.5845794677734,94.4356536865234,95.7367477416992,96.5240173339844,96.5599136352539,96.1997222900391,94.6371231079102,94.8517684936523,95.3999404907227,96.1621475219727,97.0975570678711,97.9075698852539,97.1371994018555,96.0115814208984,96.7635879516602,97.1016311645508,
Sub-Saharan Africa,SSF,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,,,,,,,,,,,0.712830007076263,0.718680024147034,0.728489995002747,0.736469984054565,0.747179985046387,0.751709997653961,0.753549993038177,0.76911997795105,0.781539976596832,0.786319971084595,0.797940015792847,0.80773001909256,0.808839976787567,0.807640016078949,0.812539994716644,0.815519988536835,0.821039974689484,0.832120001316071,0.813570022583008,0.840330004692078,0.830569982528687,0.837989985942841,0.843370020389557,0.842930018901825,0.844709992408752,0.839510023593903,0.842589974403381,0.841560006141663,0.838599979877472,0.847029983997345,0.85113000869751,0.858370006084442,0.857649981975555,0.865199983119965,0.873070001602173,0.882319986820221,0.894320011138916,0.903620004653931,0.910730004310608,0.918860018253326,0.924730002880096,0.922990024089813,0.936619997024536,0.943870007991791,0.949919998645782,0.956130027770996,0.954039990901947,0.956229984760284,0.957350015640259,0.957449972629547,0.957690000534058,,,,,
Sub-Saharan Africa,SSF,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,,,,,,,,,,,45.6589317321777,44.5410194396973,45.8912315368652,47.2516708374023,49.5090789794922,51.022331237793,52.0504989624023,55.4943313598633,59.1839408874512,63.165901184082,66.3649597167969,69.1672134399414,71.0583724975586,70.9056701660156,70.3890609741211,68.3841781616211,66.3025588989258,65.4335403442383,63.7934989929199,65.5983734130859,64.4483032226562,65.6944198608398,65.8407592773438,67.0035781860352,67.2187423706055,67.4884262084961,65.8393936157227,68.8397979736328,69.9141998291016,70.737190246582,73.0617523193359,75.1246566772461,77.0870208740234,79.7613372802734,82.0270690917969,84.668571472168,86.9262771606445,88.210807800293,89.7540130615234,90.5469284057617,90.6984329223633,91.8487396240234,93.3054428100586,93.7149963378906,93.6550521850586,92.4328994750977,92.5473709106445,93.1984634399414,94.004997253418,95.1917495727539,96.1995086669922,95.6992416381836,94.7146530151367,95.5062408447266,95.9708023071289,
Sub-Saharan Africa,SSF,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,,,,,,,,,,,64.2174835205078,62.4482307434082,63.4775390625,64.6219635009766,66.6773376464844,68.2701110839844,69.4369888305664,72.4994430541992,76.1132888793945,80.8315200805664,83.7136535644531,86.0174865722656,88.3183670043945,88.268669128418,87.0555267333984,84.2571105957031,81.0336227416992,78.8435134887695,78.5725936889648,78.1940078735352,77.7102508544922,78.4544219970703,78.1055297851562,79.5603179931641,79.6559677124023,80.4456024169922,78.1595611572266,81.8284530639648,83.3418197631836,83.4653701782227,85.7908401489258,87.4623718261719,89.7938995361328,92.0982666015625,93.8676605224609,95.9030532836914,97.1519165039062,97.589111328125,98.554817199707,98.5559463500977,98.1104965209961,99.5589218139648,99.6873092651367,99.3543701171875,98.6988525390625,96.8013381958008,97.1134872436523,97.5598068237305,98.2779006958008,98.9664001464844,99.5822906494141,98.5470428466797,97.2830429077148,97.9959487915039,98.2101593017578,
Sub-Saharan Africa,SSF,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,13.2196397781372,12.8705902099609,13.5202198028565,13.8370704650879,14.0305099487305,14.5402402877808,14.788519859314,15.3100204467773,16.0955696105957,16.9570693969727,18.1170597076416,19.3442707061768,20.5969696044922,21.7499809265137,22.7951793670654,23.2565994262695,22.8346996307373,23.0330295562744,23.0214996337891,22.4724407196045,22.6459808349609,22.9057197570801,22.8328704833984,23.0079898834229,23.2050495147705,23.7044296264648,23.9030494689941,24.0918693542481,24.6314792633057,24.8870506286621,25.4356002807617,26.7454109191894,27.7354907989502,28.8454208374023,30.3758201599121,31.2892894744873,32.2884407043457,33.1736717224121,35.0536117553711,36.7800216674805,38.6372413635254,39.7799110412598,40.9930000305176,43.3622894287109,42.3408889770508,42.8760604858398,42.5216102600098,42.9023704528809,43.1964416503906,44.0328903198242,44.704761505127,45.3296394348145,45.4347686767578,45.7079315185547,45.9050216674805,
